Dataset;Training release;%Training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature selection;TP;FP;TN;FN;Precision;Recall;ROC Area;Kappa
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;RandomForest;No sampling;No selection;188.0;45.0;244.0;15.0;0.8068669527896996;0.9261083743842364;0.9419008982903506;0.7538235735610521
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;NaiveBayes;No sampling;No selection;170.0;40.0;249.0;33.0;0.8095238095238095;0.8374384236453202;0.93388958017284;0.6954619454619456
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;Ibk;No sampling;No selection;171.0;38.0;251.0;32.0;0.8181818181818182;0.8423645320197044;0.9363782023965773;0.7077641069155706
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;RandomForest;Oversampling;No selection;171.0;17.0;272.0;32.0;0.9095744680851063;0.8423645320197044;0.9762132033340719;0.7922512150563579
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;NaiveBayes;Oversampling;No selection;193.0;168.0;121.0;10.0;0.5346260387811634;0.9507389162561576;0.8882506349395742;0.3310826293518278
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;Ibk;Oversampling;No selection;164.0;12.0;277.0;39.0;0.9318181818181818;0.8078817733990148;0.8414185146675303;0.7818314610649324
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;RandomForest;Undersampling;No selection;168.0;5.0;284.0;35.0;0.9710982658959537;0.8275862068965517;0.9883239299776706;0.8285027101451802
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;NaiveBayes;Undersampling;No selection;190.0;154.0;135.0;13.0;0.5523255813953488;0.9359605911330049;0.8840745223038505;0.3653329213656727
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;Ibk;Undersampling;No selection;170.0;7.0;282.0;33.0;0.96045197740113;0.8374384236453202;0.9096596042067943;0.8290152739404681
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;RandomForest;SMOTE;No selection;178.0;4.0;285.0;25.0;0.978021978021978;0.8768472906403941;0.9929006085192698;0.8764974724742054
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;NaiveBayes;SMOTE;No selection;192.0;73.0;216.0;11.0;0.7245283018867924;0.9458128078817734;0.9100346020761245;0.6630851254626383
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;Ibk;SMOTE;No selection;181.0;7.0;282.0;22.0;0.9627659574468085;0.8916256157635468;0.9348100294884688;0.8770466374823342
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;RandomForest;No sampling;Best first;165.0;56.0;233.0;38.0;0.746606334841629;0.812807881773399;0.9080573405832921;0.6109755892397504
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;NaiveBayes;No sampling;Best first;165.0;56.0;233.0;38.0;0.746606334841629;0.812807881773399;0.9080573405832921;0.6109755892397504
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;Ibk;No sampling;Best first;165.0;56.0;233.0;38.0;0.746606334841629;0.812807881773399;0.9080573405832921;0.6109755892397504
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;RandomForest;Oversampling;Best first;155.0;35.0;254.0;48.0;0.8157894736842105;0.7635467980295566;0.9239436139567389;0.6486198113856956
BOOKKEEPER;1;0.6117886178861789;0.43853820598006643;0.8219895287958116;NaiveBayes;Oversampling;Best first;166.0;59.0;230.0;37.0;0.7377777777777778;0.8177339901477833;0.8734296964221794;0.6038447989532486
