Dataset;Training release;%Training;%Defective in training;%Defective in testing;Classifier;Balancing;Feature selection;TP;FP;TN;FN;Precision;Recall;ROC Area;Kappa
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;RandomForest;No sampling;No selection;1269.0;8.0;0.0;0.0;0.9937353171495693;1.0;0.5;0.0
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;NaiveBayes;No sampling;No selection;1269.0;8.0;0.0;0.0;0.9937353171495693;1.0;0.5;0.0
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;Ibk;No sampling;No selection;1269.0;8.0;0.0;0.0;0.9937353171495693;1.0;0.5;0.0
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;RandomForest;Oversampling;No selection;995.0;1.0;7.0;274.0;0.998995983935743;0.7840819542947203;0.8825847123719465;0.03670756562073983
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;NaiveBayes;Oversampling;No selection;1141.0;4.0;4.0;128.0;0.9965065502183406;0.8991331757289204;0.7606382978723404;0.04587135191432532
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;Ibk;Oversampling;No selection;1149.0;5.0;3.0;120.0;0.9956672443674177;0.9054373522458629;0.635441292356186;0.03444250207175234
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;RandomForest;Undersampling;No selection;1078.0;2.0;6.0;191.0;0.9981481481481481;0.8494877856579984;0.8793341213553979;0.04706282647612614
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;NaiveBayes;Undersampling;No selection;1088.0;3.0;5.0;181.0;0.997250229147571;0.8573680063041765;0.8374704491725768;0.04001438131736162
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;Ibk;Undersampling;No selection;772.0;3.0;5.0;497.0;0.9961290322580645;0.6083530338849488;0.6168242710795903;0.007365858360357998
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;RandomForest;SMOTE;No selection;1269.0;4.0;4.0;0.0;0.9968578161822467;1.0;0.917651694247439;0.6652686762778525
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;NaiveBayes;SMOTE;No selection;1223.0;6.0;2.0;46.0;0.9951179820992677;0.9637509850275807;0.8477147360126084;0.06134795883749985
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;Ibk;SMOTE;No selection;1269.0;4.0;4.0;0.0;0.9968578161822467;1.0;0.801812450748621;0.6652686762778525
STORM;1;0.7470634299138607;0.0041928721174004195;0.01238390092879257;RandomForest;No sampling;Best first;1269.0;8.0;0.0;0.0;0.9937353171495693;1.0;0.5;0.0
